Time BB PB PL PS MA SG ZS ZM ZL ZG AUR SQX BMD BD BG BMS DUN BML PWN BFF BIV GEC BC HEP HEC FPS POP CHY CHS CSY CSS CSN CDS CNY CNS CHC CYE CKS CRH CRW CRC COH COS COD COY COR CDR CMS CMF CMH PIS SAL SAF FMM FVS ROC MRO DVR MVR SMD FDF HAP DOG SBL SSK RAT SB SP BE HSL CSL PIN PHR ROR TOR HUW DL DR DC DIN RelBB RelPB RelPL RelPS RelMA RelSG RelZS RelZM RelZL RelZG RelAUR RelSQX RelBMD RelBD RelBG RelBMS RelDUN RelBML RelPWN RelBFF RelBIV RelGEC RelBC RelHEP RelHEC RelFPS RelPOP RelCHY RelCHS RelCSY RelCSS RelCSN RelCDS RelCNY RelCNS RelCHC RelCYE RelCKS RelCRH RelCRW RelCRC RelCOH RelCOS RelCOD RelCOY RelCOR RelCDR RelCMS RelCMF RelCMH RelPIS RelSAL RelSAF RelFMM RelFVS RelROC RelMRO RelDVR RelMVR RelSMD RelFDF RelHAP RelDOG RelSBL RelSSK RelRAT RelSB RelSP RelBE RelHSL RelCSL RelPIN RelPHR RelROR RelTOR RelHUW RelDL RelDR RelDC RelDIN MigHEP MigHEC MigCHY MigCHS MigCSY MigCSS MigCSN MigCDS MigCNY MigCNS MigCHC MigCYE MigCKS MigCOH MigCOS MigCOD MigCOY MigCMS MigCMF MigCMH MigPIS MigSAL MigSAF MigDOG MigBE MigCSL MigPIN MigROR MigTOR MigHUW PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
0.000000e+00 4203673.546511 706756.650661 147529.819788 7764.727358 68939.953325 12321.350519 1938.294015 10174.037670 3498.515537 142197.731833 142197.731833 3885.554883 69339.773589 235904.416547 950.930627 328.893585 21915.305602 9703.951738 2659.177476 11969.167877 397270.970594 206257.591068 154708.989274 12844.087590 1477.782916 7021.646638 1058.334343 56.346629 4046.635836 29.904363 416.560522 35.685509 17.050489 0.076844 10.831882 47.364719 4.321938 147.983794 6.543889 431.208749 1388.199902 669.551584 454.973573 4.913873 1879.242640 226.766353 0.639007 41177.879870 73834.741617 551.198685 18428.864456 878.045259 16546.386859 20672.256915 1433.674498 2374.712712 6318.839138 218.278614 208.428822 4329.988941 27590.346559 9481.364681 7918.619923 6.746502 3191.748172 62407.766424 55.210770 44.461083 10.656000 510.351985 408.549000 23.139005 542.850429 447.542152 193.722121 506.080422 0.000000 2626.461044 110853.973859 45939.182293 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 2.701666 2.704030 2.294893 2.502916 2.496620 2.647891 2.391032 2.791752 2.060066 3.352162 2.703317 1.000000 1.000000 1.000000 1.078578 1.177846 1.393424 1.212955 1.000000 1.000000 1.478458 1.389021 1.478451 1.000000 1.465654 2.704051 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.005720 1.004848 1.167063 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 50.346241 3645.406774 23.985566 358.292542 30.680931 15.518922 0.065316 9.961500 41.577443 4.023471 133.312332 142.486312 117.394656 2.372533 563.802470 38938.765533 70360.155857 521.223017 5779.594321 720.499720 14905.792123 0.000000 0.000000 0.000000 0.000000 447.542152 193.722121 506.080422 0.000000 0.000000 0.000000 0.000000 -308.390507 3.417467
1.000000e+00 4202669.471880 727966.313685 40773.837651 38213.105960 68931.937994 12321.005820 1884.780024 10183.258888 3493.624637 142264.588697 142264.588697 3890.179423 69322.151683 236512.884675 953.533168 332.243419 21937.088589 9678.631869 2659.135878 11984.216589 397269.811272 206304.381451 154677.915795 12807.233622 1472.353508 7032.885355 1053.058462 56.485024 4056.791627 29.969740 417.252159 35.761813 17.110412 0.077168 10.867802 47.463385 4.329726 148.301710 6.597963 437.843573 1394.851719 694.733689 475.861615 5.039081 1944.366713 233.594663 0.660035 41229.026389 73925.682530 552.109717 19061.294279 879.174520 16577.588748 20597.153515 1432.254455 2362.298809 6289.027332 217.304745 206.929517 4354.081553 27585.785232 9454.752629 7856.623646 6.743047 3186.092062 62262.606751 55.234942 44.530405 10.657029 510.382341 408.905058 23.141893 542.923984 447.542152 193.722121 506.080422 7506568.401265 60052547.210118 90139.742365 31392960.895842 0.999761 1.030010 0.276377 4.921371 0.999884 0.999972 0.972391 1.000906 0.998602 1.000470 1.000470 1.001190 0.999746 1.002579 1.002737 1.010185 1.000994 0.997391 0.999984 1.001257 0.999997 1.000227 0.999799 0.997131 0.996326 1.001601 0.995015 2.708302 2.710816 2.299910 2.507072 2.501958 2.657196 2.401123 2.801010 2.064357 3.358203 2.709125 1.008263 1.015387 1.004792 1.119144 1.231922 1.428929 1.254989 1.030112 1.032908 1.480294 1.390732 1.480895 1.034317 1.467539 2.709151 0.996367 0.999010 0.994772 0.995282 0.995538 0.992807 1.005564 0.999835 0.997193 0.992171 0.999488 0.998228 0.997674 1.000438 1.001559 1.000097 1.000059 1.000872 1.000125 1.000135 1.005720 1.004848 1.167063 1.000000 22864.434771 0.813139 683.359157 0.000000 0.000000 50.435412 3649.680439 24.019922 358.676923 30.713827 15.537878 0.065426 9.974131 41.622032 4.029181 133.468619 142.731520 117.554082 2.376108 564.592011 38985.868033 70446.557455 521.912806 5785.104659 721.392581 14923.260599 235.698709 0.000000 0.000000 0.000000 447.542152 193.722121 506.080422 0.505880 0.125038 64.637931 0.000000 -310.333528 0.000000
2.000000e+00 4202601.690176 727954.500982 39880.395802 37830.715304 71428.425639 12324.552603 1810.655421 10197.282339 3489.702873 142310.913767 142310.913767 3894.810281 69305.356175 236570.117045 955.577783 335.541742 21958.316219 9677.376376 2659.118463 12001.950048 397248.624125 206350.498447 154648.407050 12769.964709 1466.944924 6374.318780 1036.440162 54.501108 3955.324502 28.237179 402.715387 34.552005 16.786335 0.070893 10.903288 46.650824 4.230552 144.571405 6.260940 406.821767 1291.858238 143.006884 493.893933 5.160689 2006.108099 210.525036 0.593315 40824.533475 73313.050241 547.081009 19191.629028 823.299766 16152.843513 20523.847441 1430.873502 2340.875400 6259.775804 216.346675 205.460186 4377.541773 27583.022825 9428.728459 7798.909547 6.739658 3138.703576 62119.384349 55.259142 44.599837 10.658063 510.413246 409.267901 23.144788 542.997640 444.779765 192.617167 499.917284 7506569.402380 60052555.219037 73430.636172 31420925.607420 0.999745 1.029993 0.270321 4.872124 1.036096 1.000260 0.934149 1.002285 0.997481 1.000796 1.000796 1.002382 0.999504 1.002822 1.004887 1.020214 1.001963 0.997261 0.999978 1.002739 0.999944 1.000450 0.999608 0.994229 0.992666 0.907810 0.979313 2.613178 2.643014 2.166952 2.419727 2.417318 2.606868 2.205874 2.810156 2.029016 3.281282 2.640981 0.956761 0.943445 0.930600 0.230369 1.278604 1.463413 1.294840 0.928379 0.928497 1.465771 1.379207 1.467407 1.041390 1.374271 2.639738 0.992821 0.998046 0.985751 0.990653 0.991149 0.985757 1.010982 0.999735 0.994448 0.984882 0.998986 0.983381 0.995379 1.000876 1.003121 1.000194 1.000120 1.001760 1.000250 1.000271 0.999512 0.999117 1.152850 1.000000 22864.437821 0.662409 683.967891 0.000000 0.000000 50.525516 3653.840665 24.054275 359.048028 30.745632 15.556194 0.065537 9.986761 41.662214 4.034947 133.621060 143.006884 117.694547 2.379306 565.295820 39039.739070 70547.902527 522.671124 5788.132735 722.313440 14940.198973 704.490397 0.000000 0.000000 0.000000 444.779765 192.617167 499.917284 0.467060 0.137887 64.224138 0.000000 -312.722592 0.000000
3.000000e+00 4202533.182058 727943.171330 40255.433001 38124.664545 74798.812391 12328.033665 1731.695866 10211.186245 3485.858694 142341.751381 142341.751381 3899.426366 69288.546160 236605.208662 957.627861 338.872394 21979.551132 9676.046776 2659.109775 12021.651681 397221.728966 206396.548169 154618.779268 12731.585194 1461.471271 6390.641360 1034.218510 55.827459 3978.792558 28.495296 404.351370 34.731717 16.927831 0.072366 10.938380 167.454321 4.257742 145.202100 13.487919 415.788988 1301.760485 159.150142 511.976059 5.457295 2072.884662 217.785924 0.622757 40915.360000 73469.484318 548.791226 19968.030079 824.771451 16212.203087 20450.900128 1429.495181 2329.084974 5162.727250 215.393140 167.752193 4400.958637 27580.351080 9402.776976 7745.217606 6.781049 2639.307010 61976.626838 55.283451 44.669661 10.659006 510.691571 409.438815 23.147655 543.071401 444.869585 192.655904 425.635278 7506570.311572 60052562.492573 59826.648724 31440288.279833 0.999729 1.029977 0.272863 4.909981 1.084985 1.000542 0.893412 1.003651 0.996382 1.001013 1.001013 1.003570 0.999261 1.002971 1.007043 1.030341 1.002932 0.997124 0.999975 1.004385 0.999876 1.000674 0.999417 0.991241 0.988962 0.910134 0.977213 2.676773 2.658696 2.186760 2.429557 2.429891 2.628842 2.251701 2.819200 7.283203 3.302371 2.652502 2.061147 0.964241 0.937733 0.256374 1.325416 1.547521 1.337941 0.960398 0.974571 1.469032 1.382150 1.471994 1.083519 1.376728 2.649438 0.989292 0.997085 0.980786 0.817037 0.986781 0.804842 1.016390 0.999638 0.991711 0.978102 1.005121 0.826916 0.993092 1.001316 1.004691 1.000282 1.000665 1.002178 1.000374 1.000407 0.999714 0.999318 0.981550 1.000000 22864.440590 0.539689 684.389375 0.000000 0.000000 50.616490 3657.885108 24.088600 359.405661 30.776331 15.573859 0.065647 9.999390 41.697982 4.040766 133.769568 143.311644 117.815957 2.382125 565.913317 39100.340561 70664.116618 523.497460 5788.705468 723.261708 14956.598002 1168.270600 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.495172 0.134176 67.310345 0.000000 -320.601809 0.000000
4.000000e+00 4202464.039817 727932.326036 41201.502797 38490.857977 78755.357744 12331.481953 1650.523451 10224.492277 3481.669516 142369.680731 142369.680731 3904.040497 69271.695507 236627.415715 959.682539 342.232539 22000.825047 9674.712064 2659.098757 12042.148125 397190.410802 206442.624977 154588.996773 12693.790171 1456.091356 6406.925036 1032.037271 57.232796 4005.200042 28.768131 406.148619 34.924628 17.084740 0.074210 10.973394 368.570909 4.287439 145.847657 25.487491 424.832983 1311.738380 186.188389 532.259109 5.922862 2145.391147 226.632259 0.661125 41006.611137 73625.451855 550.491581 20749.439530 826.245893 16271.668444 20378.514390 1428.120808 2317.366960 5155.318932 214.444281 167.340508 4424.363833 27577.793697 9376.920235 7695.480607 6.822397 2636.716253 61834.414157 55.308000 44.740142 10.659997 510.982947 409.610143 23.150556 543.145270 444.959409 192.694655 426.226023 7506571.142001 60052569.136009 48750.826321 31463141.761827 0.999712 1.029962 0.279276 4.957142 1.142376 1.000822 0.851534 1.004959 0.995185 1.001209 1.001209 1.004758 0.999018 1.003065 1.009204 1.040557 1.003902 0.996987 0.999970 1.006097 0.999797 1.000897 0.999224 0.988298 0.985322 0.912453 0.975152 2.744155 2.676342 2.207698 2.440356 2.443387 2.653210 2.309065 2.828225 16.030502 3.325405 2.664295 3.894854 0.985214 0.944920 0.299930 1.377925 1.679542 1.384740 0.999409 1.034614 1.472309 1.385084 1.476555 1.125921 1.379189 2.659156 0.985790 0.996126 0.975851 0.815865 0.982434 0.802866 1.021796 0.999545 0.988984 0.971821 1.011250 0.826104 0.990813 1.001761 1.006276 1.000375 1.001236 1.002597 1.000499 1.000543 0.999916 0.999519 0.982912 1.000000 22864.443119 0.439775 684.886848 0.000000 0.000000 50.707439 3661.927124 24.122915 359.763068 30.807011 15.591513 0.065757 10.012018 41.733715 4.046582 133.917988 143.616118 117.937127 2.384939 566.529622 39160.958846 70780.372162 524.323909 5789.274402 724.209849 14972.986933 1625.170440 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.515783 0.130337 67.603448 0.000000 -322.441748 0.000000
5.000000e+00 4202394.548677 727921.675702 42265.466245 38839.680559 84392.818286 12334.949799 1567.872271 10237.063209 3477.086517 142394.661737 142394.661737 3908.655304 69254.799921 236639.720447 961.741767 345.623256 22022.131351 9673.371697 2659.085457 12063.236895 397156.707820 206488.696634 154559.062383 12656.340257 1450.773118 6423.137906 1029.883641 58.716762 4034.514706 29.055545 408.105156 35.130551 17.256451 0.076404 11.008309 647.819272 4.319620 146.507784 42.130226 433.994983 1321.837409 224.021211 554.735964 6.555859 2223.621613 237.053627 0.708348 41098.325997 73781.054658 552.182752 21538.035316 827.722959 16331.190382 20304.376338 1426.751118 2305.718118 5147.950296 213.499850 166.931699 4447.759096 27575.333624 9351.156564 7649.632474 6.863704 2634.131712 61692.793251 55.332838 44.811285 10.661043 511.287115 409.783410 23.153490 543.219246 445.049235 192.733421 426.816771 7506571.903369 60052575.226952 39730.967769 31486129.696950 0.999696 1.029947 0.286488 5.002066 1.224150 1.001104 0.808893 1.006195 0.993875 1.001385 1.001385 1.005945 0.998775 1.003117 1.011369 1.050867 1.004874 0.996849 0.999965 1.007859 0.999712 1.001120 0.999031 0.985383 0.981723 0.914762 0.973117 2.815307 2.695930 2.229754 2.452112 2.457794 2.679876 2.377354 2.837224 28.176039 3.350365 2.676354 6.438102 1.006461 0.952195 0.360875 1.436113 1.859041 1.435234 1.045365 1.108514 1.475602 1.388011 1.481091 1.168712 1.381654 2.668884 0.982204 0.995171 0.970946 0.814699 0.978107 0.800905 1.027199 0.999456 0.986267 0.966031 1.017372 0.825294 0.988544 1.002211 1.007877 1.000473 1.001832 1.003021 1.000626 1.000679 1.000118 0.999720 0.984274 1.000000 22864.445438 0.358408 685.387247 0.000000 0.000000 50.798364 3665.966712 24.157219 360.120248 30.837672 15.609156 0.065867 10.024646 41.769415 4.052397 134.066321 143.920307 118.058055 2.387747 567.144735 39221.593824 70896.668955 525.150471 5789.839560 725.157863 14989.365755 2073.280868 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.541753 0.126212 67.775862 0.000000 -324.280886 0.000000
6.000000e+00 4202325.001641 727911.060517 42765.932369 38926.086897 92481.122065 12338.509420 1490.516694 10249.578302 3472.031238 142415.846780 142415.846780 3913.274874 69237.876426 236642.585587 963.805760 349.044999 22043.489983 9672.024179 2659.069830 12084.885273 397122.522395 206534.782672 154528.986802 12618.896176 1445.470854 6439.329073 1027.740541 60.279821 4066.753130 29.357575 410.221922 35.349475 17.442253 0.078938 11.043124 1002.515309 4.354288 147.183313 63.256730 443.318664 1332.110911 272.607970 579.436785 7.355920 2307.712249 249.059123 0.764441 41190.805572 73936.681341 553.877146 22333.584632 829.203572 16390.878469 20230.533593 1425.383630 2294.133571 5140.611110 212.559558 166.525178 4471.127889 27572.894289 9325.468435 7607.570759 6.904971 2631.552224 61551.691129 55.358010 44.883094 10.662147 511.603849 409.959834 23.156459 543.293328 445.139065 192.772202 427.407520 7506572.603594 60052580.828753 32386.140074 31513205.601720 0.999679 1.029932 0.289880 5.013194 1.341474 1.001393 0.768984 1.007425 0.992430 1.001534 1.001534 1.007134 0.998530 1.003129 1.013540 1.061270 1.005849 0.996710 0.999960 1.009668 0.999626 1.001344 0.998837 0.982467 0.978135 0.917068 0.971092 2.890252 2.717473 2.252932 2.464830 2.473110 2.708730 2.456197 2.846197 43.603072 3.377254 2.688694 9.666534 1.028084 0.959596 0.439143 1.500059 2.085913 1.489510 1.098307 1.196296 1.478922 1.390939 1.485636 1.211881 1.384126 2.678638 0.978632 0.994217 0.966068 0.813537 0.973799 0.798955 1.032596 0.999367 0.983558 0.960719 1.023489 0.824486 0.986283 1.002667 1.009492 1.000577 1.002453 1.003453 1.000754 1.000816 1.000320 0.999921 0.985637 1.000000 22864.447571 0.292151 685.976633 0.000000 0.000000 50.889264 3670.003867 24.191512 360.477201 30.868313 15.626788 0.065977 10.037273 41.805080 4.058209 134.214565 144.224207 118.178743 2.390549 567.758658 39282.245393 71013.006790 525.977144 5790.400964 726.105749 15005.734455 2510.660849 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.565856 0.121980 67.879310 0.000000 -326.117890 0.000000
7.000000e+00 4202255.478690 727900.474425 41821.752171 38416.687489 102339.687611 12342.123041 1417.935268 10262.108694 3466.350711 142433.404028 142433.404028 3917.903713 69220.944574 236636.184616 965.874528 352.498131 22064.925601 9670.669013 2659.051927 12107.191470 397088.344109 206580.884383 154498.802152 12581.126779 1440.135921 6455.531089 1025.597441 61.922607 4101.927702 29.673932 412.499443 35.581252 17.641261 0.081791 11.077834 1429.282500 4.391445 147.874717 88.666120 452.839671 1342.597178 331.921889 606.366867 8.322710 2397.716449 262.652814 0.829402 41284.256834 74092.605719 555.585016 23136.423171 830.688829 16450.812610 20156.785412 1424.016998 2282.610667 5133.296968 211.623229 166.120628 4494.445911 27570.386328 9299.854362 7569.173800 6.946199 2628.976988 61411.067414 55.383552 44.955573 10.663308 511.932916 410.139381 23.159463 543.367512 445.228899 192.810998 427.998273 7506573.249468 60052585.995744 26406.170085 31545376.108009 0.999663 1.029917 0.283480 4.947590 1.484476 1.001686 0.731538 1.008656 0.990806 1.001657 1.001657 1.008325 0.998286 1.003102 1.015715 1.071770 1.006827 0.996570 0.999953 1.011532 0.999540 1.001567 0.998641 0.979527 0.974525 0.919376 0.969068 2.969019 2.740977 2.277210 2.478515 2.489326 2.739636 2.544956 2.855143 62.164744 3.406073 2.701325 13.549453 1.050163 0.967150 0.534692 1.569777 2.360065 1.547603 1.158253 1.297956 1.482277 1.393872 1.490217 1.255445 1.386605 2.688432 0.975065 0.993264 0.961216 0.812380 0.969510 0.797014 1.037981 0.999277 0.980856 0.955870 1.029600 0.823679 0.984029 1.003130 1.011122 1.000686 1.003098 1.003893 1.000884 1.000953 1.000521 1.000122 0.986999 1.000000 22864.449539 0.238207 686.676918 0.000000 0.000000 50.980139 3674.038586 24.225795 360.833926 30.898935 15.644408 0.066088 10.049899 41.840712 4.064020 134.362721 144.527817 118.299190 2.393347 568.371391 39342.913453 71129.385461 526.803928 5790.958639 727.053505 15022.093023 2935.395943 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.602711 0.117725 68.034483 0.000000 -327.950798 0.000000
8.000000e+00 4202186.006560 727889.923121 40653.220893 37985.542807 113997.202788 12345.774116 1350.145207 10274.569317 3460.121717 142447.332131 142447.332131 3922.536888 69204.011339 236621.590689 967.948033 355.983192 22086.448444 9669.307571 2659.031769 12130.281938 397054.188845 206626.971234 154468.536880 12543.184729 1434.783305 6471.690265 1023.471150 63.644031 4139.950577 30.004202 414.932335 35.825238 17.852643 0.084939 11.112437 1923.527684 4.431030 148.580669 118.084570 462.598269 1353.311340 401.764538 635.460350 9.452910 2493.430328 277.796671 0.903032 41378.440626 74248.544738 557.301300 23944.287435 832.177792 16510.843491 20083.183220 1422.652719 2271.152039 5126.007913 210.691081 165.718377 4517.718396 27567.875569 9274.316472 7534.323198 6.987390 2626.406807 61270.934347 55.409495 45.028736 10.664523 512.274096 410.322476 23.162502 543.441796 445.318737 192.849810 428.589028 7506573.846812 60052590.774499 21535.675487 31576742.412082 0.999646 1.029902 0.275559 4.892064 1.653572 1.001982 0.696564 1.009881 0.989026 1.001755 1.001755 1.009518 0.998042 1.003040 1.017896 1.082366 1.007809 0.996430 0.999945 1.013461 0.999454 1.001791 0.998446 0.976573 0.970903 0.921677 0.967058 3.051556 2.766384 2.302555 2.493133 2.506396 2.772463 2.642916 2.864061 83.661282 3.436776 2.714221 18.045014 1.072794 0.974868 0.647201 1.645095 2.680555 1.609382 1.225035 1.413181 1.485659 1.396806 1.494820 1.299282 1.389091 2.698243 0.971504 0.992312 0.956390 0.811226 0.965239 0.795084 1.043356 0.999186 0.978163 0.951469 1.035706 0.822874 0.981784 1.003599 1.012767 1.000800 1.003766 1.004341 1.001015 1.001089 1.000723 1.000323 0.988361 1.000000 22864.451358 0.194271 687.359697 0.000000 0.000000 51.070990 3678.070867 24.260067 361.190423 30.929537 15.662016 0.066198 10.062525 41.876309 4.069828 134.510789 144.831137 118.419397 2.396139 568.982934 39403.597904 71245.804761 527.630820 5791.512607 728.001131 15038.441446 3345.632029 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.644304 0.113516 68.068966 0.000000 -329.780034 0.000000
9.000000e+00 4202116.582529 727879.415008 40107.825832 37882.511559 127309.841056 12349.420101 1286.729137 10286.967727 3453.425044 142457.896628 142457.896628 3927.172572 69187.079279 236599.684545 970.026297 359.500473 22108.081068 9667.939905 2659.009362 12154.290375 397020.057597 206673.045267 154438.206774 12505.163900 1429.437114 6487.737979 1021.359607 65.442298 4180.710650 30.348141 417.513826 36.080730 18.075668 0.088361 11.146977 2480.001596 4.472961 149.299755 151.198641 472.660336 1364.260741 481.884426 666.656338 10.742487 2594.659270 294.446424 0.985102 41473.268422 74404.402243 559.016755 24756.270416 833.669255 16570.807656 20009.824881 1421.291990 2259.760149 5118.748158 209.763281 165.318560 4540.941439 27565.392275 9248.865736 7502.928765 7.028543 2623.842442 61131.314787 55.435859 45.102590 10.665789 512.627173 410.510591 23.165578 543.516181 445.408579 192.888636 429.179785 7506574.400741 60052595.205924 17567.572167 31599281.144830 0.999630 1.029887 0.271863 4.878795 1.846677 1.002278 0.663846 1.011100 0.987112 1.001830 1.001830 1.010711 0.997798 1.002947 1.020081 1.093060 1.008796 0.996289 0.999937 1.015467 0.999368 1.002014 0.998250 0.973612 0.967285 0.923962 0.965063 3.137778 2.793621 2.328949 2.508644 2.524270 2.807098 2.749388 2.872963 107.864376 3.469299 2.727357 23.105318 1.096129 0.982755 0.776266 1.725855 3.046240 1.674720 1.298457 1.541615 1.489064 1.399738 1.499421 1.343342 1.391580 2.708042 0.967956 0.991363 0.951593 0.810077 0.960989 0.793166 1.048719 0.999096 0.975478 0.947505 1.041806 0.822071 0.979547 1.004077 1.014429 1.000919 1.004458 1.004801 1.001148 1.001226 1.000925 1.000525 0.989724 1.000000 22864.453045 0.158475 687.850318 0.000000 0.000000 51.161815 3682.100706 24.294328 361.546693 30.960120 15.679614 0.066308 10.075149 41.911873 4.075634 134.658768 145.134165 118.539365 2.398925 569.593290 39464.298644 71362.264486 528.457819 5792.062890 728.948624 15054.779711 3739.535322 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.691059 0.109418 68.137931 0.000000 -331.605282 0.000000
