Time HEP_DEN HEP_SN HEP_RN HEP_Biomass HEC_DEN HEC_SN HEC_RN HEC_Biomass CHY_DEN CHY_SN CHY_RN CHY_Biomass CHS_DEN CHS_SN CHS_RN CHS_Biomass CSY_DEN CSY_SN CSY_RN CSY_Biomass CSS_DEN CSS_SN CSS_RN CSS_Biomass CSN_DEN CSN_SN CSN_RN CSN_Biomass CDS_DEN CDS_SN CDS_RN CDS_Biomass CNY_DEN CNY_SN CNY_RN CNY_Biomass CNS_DEN CNS_SN CNS_RN CNS_Biomass CHC_DEN CHC_SN CHC_RN CHC_Biomass CYE_DEN CYE_SN CYE_RN CYE_Biomass CKS_DEN CKS_SN CKS_RN CKS_Biomass COH_DEN COH_SN COH_RN COH_Biomass COS_DEN COS_SN COS_RN COS_Biomass COD_DEN COD_SN COD_RN COD_Biomass COY_DEN COY_SN COY_RN COY_Biomass CMS_DEN CMS_SN CMS_RN CMS_Biomass CMF_DEN CMF_SN CMF_RN CMF_Biomass CMH_DEN CMH_SN CMH_RN CMH_Biomass PIS_DEN PIS_SN PIS_RN PIS_Biomass SAL_DEN SAL_SN SAL_RN SAL_Biomass SAF_DEN SAF_SN SAF_RN SAF_Biomass DOG_DEN DOG_SN DOG_RN DOG_Biomass BE_DEN BE_SN BE_RN BE_Biomass CSL_DEN CSL_SN CSL_RN CSL_Biomass PIN_DEN PIN_SN PIN_RN PIN_Biomass ROR_DEN ROR_SN ROR_RN ROR_Biomass TOR_DEN TOR_SN TOR_RN TOR_Biomass HUW_DEN HUW_SN HUW_RN HUW_Biomass
0.000000e+00 2.893681e+08 1.066731e+02 2.826837e+02 1.284409e+04 3.649661e+07 9.731065e+01 2.578732e+02 1.477783e+03 7.130006e+03 2.022515e+03 5.359664e+03 6.000387e+00 4.660170e+05 2.069154e+03 5.483259e+03 4.012291e+02 8.343924e+03 1.704768e+03 4.517636e+03 5.918797e+00 7.659980e+04 1.828120e+03 4.844517e+03 5.826798e+01 6.567562e+03 1.831326e+03 4.853013e+03 5.004578e+00 1.824988e+03 2.016872e+03 5.344710e+03 1.531567e+00 9.256400e+00 2.992993e+03 7.931431e+03 1.152777e-02 9.893471e+02 2.114285e+03 5.602855e+03 8.703819e-01 4.920230e+03 2.826774e+03 7.490951e+03 5.787276e+00 3.526176e+02 2.034202e+03 5.390636e+03 2.984667e-01 1.703623e+04 2.069675e+03 5.484639e+03 1.467146e+01 4.830913e+05 2.622029e+03 6.948377e+03 5.270653e+02 3.094141e+05 2.622029e+03 6.948377e+03 3.375789e+02 2.329311e+03 2.622029e+03 6.948377e+03 2.541340e+00 1.205691e+06 2.622029e+03 6.948377e+03 1.315440e+03 1.193670e+07 4.508107e+02 1.194648e+03 2.239114e+03 1.852298e+07 4.508109e+02 1.194649e+03 3.474586e+03 1.597820e+05 4.508617e+02 1.194783e+03 2.997567e+01 1.414134e+07 2.149697e+03 5.696696e+03 1.264927e+04 1.769090e+05 2.140220e+03 5.671584e+03 1.575455e+02 1.905526e+06 2.069135e+03 5.483207e+03 1.640595e+03 6.801149e+06 2.798140e+03 7.415072e+03 7.918620e+03 2.368000e+03 1.081471e+04 2.865898e+04 1.065600e+01 5.562000e+03 1.765288e+05 4.678012e+05 4.085490e+02 1.370000e+02 4.059069e+05 1.075653e+06 2.313901e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+00 2.893564e+08 1.063713e+02 2.818840e+02 1.280723e+04 3.649566e+07 9.695565e+01 2.569325e+02 1.472354e+03 7.129709e+03 2.039192e+03 5.403858e+03 6.049612e+00 4.659966e+05 2.099581e+03 5.563889e+03 4.071112e+02 8.343528e+03 1.713785e+03 4.541530e+03 5.949818e+00 7.658714e+04 1.838063e+03 4.870868e+03 5.857524e+01 6.566885e+03 1.847400e+03 4.895611e+03 5.047986e+00 1.824522e+03 2.071347e+03 5.489071e+03 1.572533e+00 9.254468e+00 3.049187e+03 8.080346e+03 1.174176e-02 9.882595e+02 2.173246e+03 5.759103e+03 8.936711e-01 4.917024e+03 2.855048e+03 7.565878e+03 5.841354e+00 3.526065e+02 2.048431e+03 5.428343e+03 3.005450e-01 1.703576e+04 2.092534e+03 5.545214e+03 1.483309e+01 4.830559e+05 2.746285e+03 7.277656e+03 5.520022e+02 3.094056e+05 2.783108e+03 7.375236e+03 3.583075e+02 2.329228e+03 2.747622e+03 7.281199e+03 2.662973e+00 1.205688e+06 2.750272e+03 7.288221e+03 1.379775e+03 1.193654e+07 4.516310e+02 1.196822e+03 2.243158e+03 1.851950e+07 4.514848e+02 1.196435e+03 3.479125e+03 1.597789e+05 4.541983e+02 1.203625e+03 3.019691e+01 1.414065e+07 2.256349e+03 5.979324e+03 1.327619e+04 1.769045e+05 2.143487e+03 5.680239e+03 1.577819e+02 1.905450e+06 2.086538e+03 5.529327e+03 1.654328e+03 6.597076e+06 2.776249e+03 7.357061e+03 7.620925e+03 2.368000e+03 1.081575e+04 2.866174e+04 1.065703e+01 5.562000e+03 1.766826e+05 4.682089e+05 4.089051e+02 1.370000e+02 4.059575e+05 1.075787e+06 2.314189e+01 1.790000e-13 7.329704e+06 1.942371e+07 5.459302e-13 1.790000e-13 7.329704e+06 1.942371e+07 5.459302e-13 1.790000e-13 5.676868e+07 1.504370e+08 4.228239e-12
2.000000e+00 2.893109e+08 1.060785e+02 2.811079e+02 1.276996e+04 3.649153e+07 9.661044e+01 2.560177e+02 1.466945e+03 6.896135e+03 1.385474e+03 3.671506e+03 3.975592e+00 4.526325e+05 1.600739e+03 4.241959e+03 3.014838e+02 8.122868e+03 1.237573e+03 3.279568e+03 4.182904e+00 7.455261e+04 1.407655e+03 3.730287e+03 4.366736e+01 6.392269e+03 1.431062e+03 3.792315e+03 3.806372e+00 1.767662e+03 1.672467e+03 4.432039e+03 1.230141e+00 8.521894e+00 1.510576e+03 4.003027e+03 5.356443e-03 9.868124e+02 2.232099e+03 5.915061e+03 9.165279e-01 4.753319e+03 2.522231e+03 6.683912e+03 4.988610e+00 3.408626e+02 1.379123e+03 3.654677e+03 1.956051e-01 1.654695e+04 1.590421e+03 4.214615e+03 1.095035e+01 5.370000e-14 9.356799e+02 2.479552e+03 2.090736e-17 3.093989e+05 2.922144e+03 7.743681e+03 3.761994e+02 2.329186e+03 2.869848e+03 7.605098e+03 2.781383e+00 1.205685e+06 2.871942e+03 7.610647e+03 1.440812e+03 1.181760e+07 3.629622e+02 9.618497e+02 1.784794e+03 1.833182e+07 3.625058e+02 9.606404e+02 2.765148e+03 1.581827e+05 3.708593e+02 9.827771e+02 2.440989e+01 1.371747e+07 2.348261e+03 6.222891e+03 1.340350e+04 1.604192e+05 1.512894e+03 4.009169e+03 1.009863e+02 1.850821e+06 1.574604e+03 4.172701e+03 1.212645e+03 6.188885e+06 2.754906e+03 7.300500e+03 7.094419e+03 2.368000e+03 1.081680e+04 2.866453e+04 1.065806e+01 5.562000e+03 1.768394e+05 4.686244e+05 4.092679e+02 1.370000e+02 4.060083e+05 1.075922e+06 2.314479e+01 1.790000e-13 7.329704e+06 1.942371e+07 5.459302e-13 1.790000e-13 7.329704e+06 1.942371e+07 5.459302e-13 1.790000e-13 5.676868e+07 1.504370e+08 4.228239e-12
3.000000e+00 2.892337e+08 1.057879e+02 2.803378e+02 1.273159e+04 3.648448e+07 9.626854e+01 2.551116e+02 1.461471e+03 1.703123e+04 7.500972e+02 1.933811e+03 5.210969e+00 7.009445e+05 1.100268e+03 2.915710e+03 3.209075e+02 1.137727e+04 9.308451e+02 2.466740e+03 4.406696e+00 1.066073e+05 1.013219e+03 2.685031e+03 4.494571e+01 8.095738e+03 1.174180e+03 3.111577e+03 3.955385e+00 2.426696e+03 1.340900e+03 3.553385e+03 1.353971e+00 2.331584e+01 6.925637e+02 1.835294e+03 6.719061e-03 9.850278e+02 2.290945e+03 6.071005e+03 9.389899e-01 6.045668e+06 4.999055e+01 1.324749e+02 1.257563e+02 7.069384e+02 7.376193e+02 1.954691e+03 2.169759e-01 1.809127e+04 1.518713e+03 4.024589e+03 1.143253e+01 2.151098e+05 1.769523e+02 4.689236e+02 1.583850e+01 3.439887e+05 2.753790e+03 7.297542e+03 3.941601e+02 5.634951e+03 1.311539e+03 3.475579e+03 3.075170e+00 1.318864e+06 2.746042e+03 7.277011e+03 1.506971e+03 1.275905e+07 3.418732e+02 9.059641e+02 1.815019e+03 1.845060e+07 3.654110e+02 9.683391e+02 2.805368e+03 1.617958e+05 3.757062e+02 9.956215e+02 2.529377e+01 1.398512e+07 2.437181e+03 6.456560e+03 1.417932e+04 1.684491e+05 1.448243e+03 3.837844e+03 1.015097e+02 1.882509e+06 1.602944e+03 4.247802e+03 1.255605e+03 5.781920e+06 2.733723e+03 7.244367e+03 6.576947e+03 2.368000e+03 1.081776e+04 2.866706e+04 1.065901e+01 5.562000e+03 1.769132e+05 4.688201e+05 4.094388e+02 1.370000e+02 4.060586e+05 1.076055e+06 2.314766e+01 7.760000e-02 2.781739e+06 7.371610e+06 8.982059e-02 3.346667e-02 2.781739e+06 7.371610e+06 3.873706e-02 6.930000e-02 2.048648e+07 5.428916e+07 5.907425e-01
4.000000e+00 2.891553e+08 1.055024e+02 2.795815e+02 1.269379e+04 3.647745e+07 9.593266e+01 2.542216e+02 1.456091e+03 2.716388e+04 5.908956e+02 1.516314e+03 6.525357e+00 9.492212e+05 8.691093e+02 2.303140e+03 3.432729e+02 1.463053e+04 7.630414e+02 2.022060e+03 4.645216e+00 1.386277e+05 8.041461e+02 2.130987e+03 4.638555e+01 9.798459e+03 1.009928e+03 2.676309e+03 4.117617e+00 3.085048e+03 1.163231e+03 3.082563e+03 1.493227e+00 3.809649e+01 5.332134e+02 1.413015e+03 8.452471e-03 9.832651e+02 2.349767e+03 6.226883e+03 9.613758e-01 1.206224e+07 6.511873e+01 1.725646e+02 3.268372e+02 1.072929e+03 5.394977e+02 1.429669e+03 2.408564e-01 1.963527e+04 1.460138e+03 3.869365e+03 1.192967e+01 4.301574e+05 2.378492e+02 6.303004e+02 4.257227e+01 3.785739e+05 2.630205e+03 6.970044e+03 4.143220e+02 8.939554e+03 9.511191e+02 2.520466e+03 3.537924e+00 1.432041e+06 2.649665e+03 7.021612e+03 1.578862e+03 1.370050e+07 3.237545e+02 8.579493e+02 1.845652e+03 1.856938e+07 3.682131e+02 9.757648e+02 2.845080e+03 1.654088e+05 3.801971e+02 1.007522e+03 2.616767e+01 1.425274e+07 2.523902e+03 6.683416e+03 1.496017e+04 1.764784e+05 1.389519e+03 3.682225e+03 1.020360e+02 1.914194e+06 1.630493e+03 4.320808e+03 1.298682e+03 5.377892e+06 2.712696e+03 7.188644e+03 6.070310e+03 2.368000e+03 1.081876e+04 2.866973e+04 1.066000e+01 5.562000e+03 1.769873e+05 4.690162e+05 4.096101e+02 1.370000e+02 4.061095e+05 1.076190e+06 2.315056e+01 1.552000e-01 2.781782e+06 7.371723e+06 1.796439e-01 6.693333e-02 2.782235e+06 7.372924e+06 7.748792e-02 1.386000e-01 2.048652e+07 5.428927e+07 1.181487e+00
5.000000e+00 2.890760e+08 1.052200e+02 2.788331e+02 1.265634e+04 3.647040e+07 9.560074e+01 2.533420e+02 1.450773e+03 3.729414e+04 5.219654e+02 1.340516e+03 7.918398e+00 1.197461e+06 7.396650e+02 1.960112e+03 3.685480e+02 1.788268e+04 6.582903e+02 1.744469e+03 4.898326e+00 1.706118e+05 6.759241e+02 1.791199e+03 4.798491e+01 1.150041e+04 8.970932e+02 2.377297e+03 4.292880e+00 3.742709e+03 1.057761e+03 2.803067e+03 1.647295e+00 5.286412e+01 4.790259e+02 1.269419e+03 1.053702e-02 9.815223e+02 2.408511e+03 6.382554e+03 9.836633e-01 1.805402e+07 8.067458e+01 2.137876e+02 6.060499e+02 1.438835e+03 4.463399e+02 1.182801e+03 2.672234e-01 2.117893e+04 1.411789e+03 3.741241e+03 1.244146e+01 6.451437e+05 2.983893e+02 7.907316e+02 8.010090e+01 4.131545e+05 2.540101e+03 6.731269e+03 4.366779e+02 1.224302e+04 8.181878e+02 2.168198e+03 4.168112e+00 1.545214e+06 2.576315e+03 6.827234e+03 1.656477e+03 1.464193e+07 3.080393e+02 8.163041e+02 1.876732e+03 1.868817e+07 3.709273e+02 9.829573e+02 2.884386e+03 1.690214e+05 3.843646e+02 1.018566e+03 2.703228e+01 1.452033e+07 2.607479e+03 6.906219e+03 1.574820e+04 1.845071e+05 1.335946e+03 3.540256e+03 1.025651e+02 1.945876e+06 1.657230e+03 4.391661e+03 1.341825e+03 4.978573e+06 2.691830e+03 7.133349e+03 5.576352e+03 2.368000e+03 1.081983e+04 2.867254e+04 1.066104e+01 5.562000e+03 1.770621e+05 4.692146e+05 4.097834e+02 1.370000e+02 4.061610e+05 1.076327e+06 2.315349e+01 2.328000e-01 2.781827e+06 7.371844e+06 2.694703e-01 1.004000e-01 2.782765e+06 7.374329e+06 1.162540e-01 2.079000e-01 2.048656e+07 5.428939e+07 1.772235e+00
6.000000e+00 2.889949e+08 1.049382e+02 2.780862e+02 1.261890e+04 3.646321e+07 9.527011e+01 2.524658e+02 1.445471e+03 4.742202e+04 4.860212e+02 1.251005e+03 9.390557e+00 1.445660e+06 6.595568e+02 1.747825e+03 3.967493e+02 2.113316e+04 5.874861e+02 1.556838e+03 5.166063e+00 2.025576e+05 5.902022e+02 1.564036e+03 4.974472e+01 1.320158e+04 8.157688e+02 2.161787e+03 4.481162e+00 4.399672e+03 9.916763e+02 2.627942e+03 1.815465e+00 6.761890e+01 4.606444e+02 1.220708e+03 1.296079e-02 9.798007e+02 2.467166e+03 6.537990e+03 1.005851e+00 2.402051e+07 9.611970e+01 2.547172e+02 9.607102e+02 1.804630e+03 3.942947e+02 1.044881e+03 2.960784e-01 2.272223e+04 1.371669e+03 3.634923e+03 1.296875e+01 8.600688e+05 3.587395e+02 9.506596e+02 1.283838e+02 4.477305e+05 2.475880e+03 6.561082e+03 4.612580e+02 1.554535e+04 7.676326e+02 2.034226e+03 4.965371e+00 1.658386e+06 2.521473e+03 6.681905e+03 1.739954e+03 1.558336e+07 2.943386e+02 7.799972e+02 1.908560e+03 1.880697e+07 3.736049e+02 9.900529e+02 2.923675e+03 1.726333e+05 3.884024e+02 1.029266e+03 2.790000e+01 1.478790e+07 2.689253e+03 7.123881e+03 1.654318e+04 1.925351e+05 1.286891e+03 3.410262e+03 1.030978e+02 1.977555e+06 1.683327e+03 4.460817e+03 1.385144e+03 4.585791e+06 2.671129e+03 7.078493e+03 5.096910e+03 2.368000e+03 1.082095e+04 2.867551e+04 1.066215e+01 5.562000e+03 1.771384e+05 4.694166e+05 4.099598e+02 1.370000e+02 4.062130e+05 1.076465e+06 2.315646e+01 3.104000e-01 2.781878e+06 7.371978e+06 3.593003e-01 1.338667e-01 2.783301e+06 7.375750e+06 1.550352e-01 2.772000e-01 2.048660e+07 5.428950e+07 2.362985e+00
7.000000e+00 2.889109e+08 1.046545e+02 2.773344e+02 1.258113e+04 3.645573e+07 9.493799e+01 2.515857e+02 1.440136e+03 5.754747e+04 4.658737e+02 1.202081e+03 1.094247e+01 1.693818e+06 6.071093e+02 1.608840e+03 4.278891e+02 2.438113e+04 5.370273e+02 1.423122e+03 5.448137e+00 2.344610e+05 5.295811e+02 1.403390e+03 5.166552e+01 1.490194e+04 7.551276e+02 2.001088e+03 4.682318e+00 5.055951e+03 9.491732e+02 2.515309e+03 1.996853e+00 8.236131e+01 4.582156e+02 1.214271e+03 1.570330e-02 9.781112e+02 2.525688e+03 6.693073e+03 1.027935e+00 2.996153e+07 1.112892e+02 2.949164e+02 1.387442e+03 2.170299e+03 3.625723e+02 9.608165e+02 3.274250e-01 2.426514e+04 1.338255e+03 3.546376e+03 1.351200e+01 1.074931e+06 4.189646e+02 1.110256e+03 1.873941e+02 4.823018e+05 2.431999e+03 6.444798e+03 4.880677e+02 1.884651e+04 7.561005e+02 2.003666e+03 5.929364e+00 1.771554e+06 2.481666e+03 6.576416e+03 1.829345e+03 1.652476e+07 2.823381e+02 7.481960e+02 1.941343e+03 1.892575e+07 3.762816e+02 9.971463e+02 2.963220e+03 1.762443e+05 3.924590e+02 1.040016e+03 2.878109e+01 1.505544e+07 2.769032e+03 7.337161e+03 1.734546e+04 2.005623e+05 1.241826e+03 3.290839e+03 1.036353e+02 2.009232e+06 1.708910e+03 4.528613e+03 1.428720e+03 4.201411e+06 2.650589e+03 7.024060e+03 4.633778e+03 2.368000e+03 1.082212e+04 2.867863e+04 1.066331e+01 5.562000e+03 1.772159e+05 4.696222e+05 4.101394e+02 1.370000e+02 4.062657e+05 1.076604e+06 2.315946e+01 3.880000e-01 2.781932e+06 7.372120e+06 4.491340e-01 1.673333e-01 2.783841e+06 7.377179e+06 1.938316e-01 3.465000e-01 2.048665e+07 5.428961e+07 2.953737e+00
8.000000e+00 2.888247e+08 1.043700e+02 2.765805e+02 1.254318e+04 3.644799e+07 9.460521e+01 2.507038e+02 1.434783e+03 6.767051e+04 4.544874e+02 1.175319e+03 1.257304e+01 1.941932e+06 5.716064e+02 1.514757e+03 4.618797e+02 2.762687e+04 4.996838e+02 1.324162e+03 5.744135e+00 2.663199e+05 4.849665e+02 1.285161e+03 5.374191e+01 1.660147e+04 7.087132e+02 1.878090e+03 4.895701e+00 5.711706e+03 9.217324e+02 2.442591e+03 2.190627e+00 9.709216e+01 4.638995e+02 1.229334e+03 1.874156e-02 9.764484e+02 2.584082e+03 6.847817e+03 1.049913e+00 3.587634e+07 1.260472e+02 3.340252e+02 1.881651e+03 2.535849e+03 3.423174e+02 9.071411e+02 3.612020e-01 2.580764e+04 1.310221e+03 3.472085e+03 1.406988e+01 1.289732e+06 4.787660e+02 1.268730e+03 2.569334e+02 5.168685e+05 2.404070e+03 6.370787e+03 5.170410e+02 2.214649e+04 7.657789e+02 2.029314e+03 7.056771e+00 1.884721e+06 2.453925e+03 6.502902e+03 1.924447e+03 1.746615e+07 2.717301e+02 7.200847e+02 1.974843e+03 1.904454e+07 3.789218e+02 1.004143e+03 3.002740e+03 1.798543e+05 3.964661e+02 1.050635e+03 2.967048e+01 1.532296e+07 2.847137e+03 7.544776e+03 1.815277e+04 2.085887e+05 1.200278e+03 3.180738e+03 1.041767e+02 2.040905e+06 1.733828e+03 4.594644e+03 1.472402e+03 3.827296e+06 2.630199e+03 6.970027e+03 4.188691e+03 2.368000e+03 1.082336e+04 2.868190e+04 1.066452e+01 5.562000e+03 1.772950e+05 4.698319e+05 4.103225e+02 1.370000e+02 4.063191e+05 1.076746e+06 2.316250e+01 4.656000e-01 2.781989e+06 7.372271e+06 5.389719e-01 2.008000e-01 2.784381e+06 7.378612e+06 2.326431e-01 4.158000e-01 2.048669e+07 5.428973e+07 3.544492e+00
9.000000e+00 2.887365e+08 1.040854e+02 2.758264e+02 1.250516e+04 3.644011e+07 9.427307e+01 2.498236e+02 1.429437e+03 7.779124e+04 4.484280e+02 1.161874e+03 1.428048e+01 2.190004e+06 5.471651e+02 1.449987e+03 4.986099e+02 3.087099e+04 4.712818e+02 1.248897e+03 6.053812e+00 2.981338e+05 4.511533e+02 1.195556e+03 5.596713e+01 1.830015e+04 6.724643e+02 1.782030e+03 5.120610e+00 6.366981e+03 9.044100e+02 2.396687e+03 2.396054e+00 1.118114e+02 4.740144e+02 1.256138e+03 2.205338e-02 9.748077e+02 2.642460e+03 7.002519e+03 1.071828e+00 4.176439e+07 1.402962e+02 3.717848e+02 2.438090e+03 2.901279e+03 3.291250e+02 8.721814e+02 3.973271e-01 2.734971e+04 1.286530e+03 3.409304e+03 1.464099e+01 1.504473e+06 5.379300e+02 1.425515e+03 3.367503e+02 5.514307e+05 2.388826e+03 6.330390e+03 5.481170e+02 2.544536e+04 7.880344e+02 2.088291e+03 8.343562e+00 1.997885e+06 2.435965e+03 6.455307e+03 2.025066e+03 1.840751e+07 2.622893e+02 6.950667e+02 2.008970e+03 1.916332e+07 3.815139e+02 1.011012e+03 3.042138e+03 1.834631e+05 4.003056e+02 1.060810e+03 3.055894e+01 1.559045e+07 2.923340e+03 7.746823e+03 1.896421e+04 2.166143e+05 1.161843e+03 3.078884e+03 1.047206e+02 2.072575e+06 1.757921e+03 4.658490e+03 1.516028e+03 3.465278e+06 2.610020e+03 6.916554e+03 3.763393e+03 2.368000e+03 1.082464e+04 2.868530e+04 1.066579e+01 5.562000e+03 1.773763e+05 4.700473e+05 4.105106e+02 1.370000e+02 4.063730e+05 1.076888e+06 2.316558e+01 5.432000e-01 2.782049e+06 7.372432e+06 6.288142e-01 2.342667e-01 2.784924e+06 7.380050e+06 2.714698e-01 4.851000e-01 2.048673e+07 5.428984e+07 4.135249e+00
