Time BB PB PL PS MA SG ZS ZM ZL ZG SQX BMD BD BG BMS DUN BML PWN BFF BIV GEC BC HEP HEC FPS POP CHY CHS CSY CSS CSN CDS CNY CNS CHC CYE CKS COH COS COD COY CMS CMF CMH PIS SAL SAF FMM FVS ROC MRO DVR MVR SMD FDF HAP DOG SBL SSK RAT SB SP BE HSL CSL PIN PHR ROR TOR HUW DL DR DC DIN RelBB RelPB RelPL RelPS RelMA RelSG RelZS RelZM RelZL RelZG RelSQX RelBMD RelBD RelBG RelBMS RelDUN RelBML RelPWN RelBFF RelBIV RelGEC RelBC RelHEP RelHEC RelFPS RelPOP RelCHY RelCHS RelCSY RelCSS RelCSN RelCDS RelCNY RelCNS RelCHC RelCYE RelCKS RelCOH RelCOS RelCOD RelCOY RelCMS RelCMF RelCMH RelPIS RelSAL RelSAF RelFMM RelFVS RelROC RelMRO RelDVR RelMVR RelSMD RelFDF RelHAP RelDOG RelSBL RelSSK RelRAT RelSB RelSP RelBE RelHSL RelCSL RelPIN RelPHR RelROR RelTOR RelHUW RelDL RelDR RelDC RelDIN MigHEP MigHEC MigCHY MigCHS MigCSY MigCSS MigCSN MigCDS MigCNY MigCNS MigCHC MigCYE MigCKS MigCOH MigCOS MigCOD MigCOY MigCMS MigCMF MigCMH MigPIS MigSAL MigSAF MigDOG MigBE MigCSL MigPIN MigROR MigTOR MigHUW PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
0.000000e+00 4203673.546511 706756.650661 147529.819788 7764.727358 68939.953325 12321.350519 1938.294015 10174.037670 3498.515537 142197.731833 3885.554883 69339.773589 235904.416547 950.930627 328.893585 21915.305602 9703.951738 2659.177476 11969.167877 397270.970594 206257.591068 154708.989274 12844.087590 1477.782916 7021.646638 1058.334343 138.439226 7636.653044 58.576033 727.005302 62.275992 35.249443 0.169772 22.842896 106.664888 10.074698 279.256518 1226.049875 803.663184 8.585763 3292.085254 41177.879870 73834.741617 551.198685 18428.864456 878.045259 31225.728866 20672.256915 1433.674498 2374.712712 6318.839138 218.278614 208.428822 4329.988941 27590.346559 9481.364681 7918.619923 6.746502 3191.748172 62407.766424 55.210770 44.461083 10.656000 510.351985 408.549000 23.139005 542.850429 447.542152 193.722121 506.080422 0.000000 2626.461044 110853.973859 45939.182293 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 2.166658 2.150816 1.637958 1.869829 1.867219 2.220890 1.976833 2.331517 1.873801 2.719257 2.150546 1.046423 1.102943 1.259949 1.125812 1.478458 1.389021 1.478451 1.000000 1.465654 2.150825 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.005720 1.004848 1.167063 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 105.747199 5841.061968 32.430456 484.440971 41.483141 28.339887 0.122567 18.693001 84.851925 8.450894 213.607326 158.881448 128.181235 3.029185 628.676195 38938.765533 70360.155857 521.223017 5779.594321 720.499720 23883.659867 0.000000 0.000000 0.000000 0.000000 447.542152 193.722121 506.080422 0.000000 0.000000 0.000000 0.000000 -308.390507 3.417467
1.000000e+00 4201846.444157 797417.437601 147163.072746 7700.816912 68909.737317 12321.331701 1881.971482 10169.159560 3486.541455 142258.157560 3889.002650 69274.006369 236865.996470 958.827520 338.570595 21996.602616 9609.434357 2659.124056 12024.300378 397176.994841 206417.508171 154597.676818 12857.904377 1476.870347 7045.548734 1059.514391 138.979764 7687.391472 58.842399 729.623426 62.589623 35.532337 0.171469 23.015525 107.093924 10.100491 280.548392 1329.926060 890.567018 9.177249 3578.535407 41241.191492 73943.251740 552.340416 19912.842486 880.008707 31386.948559 20693.441801 1433.756952 2379.765684 6326.974771 218.289433 208.698669 4436.814042 27730.946019 9482.220585 7921.742558 6.748793 3191.874485 62452.774784 55.083855 44.561900 10.362344 509.417433 409.489468 23.125038 542.949705 447.542152 193.722121 506.080422 362.891133 1239166.406812 62616.128258 207325.446474 0.999565 1.128277 0.997514 0.991769 0.999562 0.999998 0.970942 0.999521 0.996577 1.000425 1.000887 0.999052 1.004076 1.008304 1.029423 1.003710 0.990260 0.999980 1.004606 0.999763 1.000775 0.999281 1.001076 0.999382 1.003404 1.001115 2.175118 2.165106 1.645406 1.876563 1.876622 2.238714 1.996599 2.349137 1.881338 2.726218 2.160494 1.135080 1.222209 1.346749 1.223770 1.480731 1.391063 1.481514 1.080525 1.468931 2.161930 1.001025 1.000058 1.002128 1.001288 1.000050 1.001295 1.024671 1.005096 1.000090 1.000394 1.000340 1.000040 1.000721 0.997701 1.002268 0.972442 0.998169 1.002302 0.999396 1.000183 1.005720 1.004848 1.167063 1.000000 471.800794 0.564852 4.513042 0.000000 0.000000 105.876316 5846.467343 32.470390 484.887686 41.521371 28.365478 0.122718 18.710275 84.915533 8.459161 213.804999 159.140335 128.347795 3.033222 629.509749 38985.868033 70446.557455 521.912806 5785.104659 721.392581 23905.754168 237.652277 0.000000 0.000000 0.000000 447.542152 193.722121 506.080422 0.595085 0.085555 58.931034 0.000000 -317.005736 0.000000
2.000000e+00 4201622.056639 829411.722035 146849.348518 7663.932523 68901.453797 12321.237790 1809.496175 10180.969157 3486.986675 142314.919777 3893.029935 69256.701033 236895.272963 960.937766 341.208778 22018.990332 9590.896522 2659.092853 12041.054906 397134.596891 206460.624174 154566.813993 12861.908315 1476.261033 6385.600108 1048.406061 114.946181 6485.698800 42.606124 582.443442 50.001927 30.878307 0.135800 20.129879 94.086225 8.900978 236.946639 879.805648 670.101559 6.903171 2647.660485 40832.207895 73324.418119 547.102213 20026.462985 823.985095 26498.273617 20704.122810 1433.791358 2372.650639 6330.472225 218.294068 208.816338 4482.992946 27792.037744 9482.557963 7922.999339 6.749837 3150.018017 62472.649044 55.020060 44.583581 10.291695 509.137395 409.753535 23.121410 542.977014 444.779765 192.617167 499.917284 1062.213536 1760461.771668 50323.681579 278752.167329 0.999512 1.173546 0.995388 0.987019 0.999442 0.999991 0.933551 1.000681 0.996705 1.000824 1.001924 0.998802 1.004200 1.010524 1.037444 1.004731 0.988350 0.999968 1.006006 0.999657 1.000984 0.999081 1.001387 0.998970 0.909416 0.990619 1.798978 1.826657 1.191392 1.498022 1.499206 1.945487 1.581261 2.054606 1.652829 2.402458 1.824719 0.750906 0.919644 1.013031 0.905434 1.466047 1.379421 1.467464 1.086690 1.375415 1.825198 1.001541 1.000082 0.999132 1.001841 1.000071 1.001859 1.035336 1.007310 1.000126 1.000553 1.000494 0.986926 1.001040 0.996546 1.002755 0.965812 0.997620 1.002948 0.999240 1.000233 0.999512 0.999117 1.152850 1.000000 670.279034 0.453964 6.067852 0.000000 0.000000 106.006786 5851.729124 32.510319 485.318964 41.558334 28.390203 0.122869 18.726968 84.972846 8.467508 213.997804 159.431065 128.494543 3.036834 630.252772 39039.739070 70547.902527 522.671124 5788.132735 722.313440 23927.177454 713.126052 0.000000 0.000000 0.000000 444.779765 192.617167 499.917284 0.435669 0.121679 59.379310 0.000000 -321.227016 0.000000
3.000000e+00 4201409.217327 857696.260853 146569.071680 7637.933427 68893.127179 12321.064687 1738.291262 10193.473162 3487.373636 142354.770516 3897.050695 69239.359262 236905.324852 963.051944 343.863143 22041.390820 9574.241321 2659.072068 12059.575929 397087.226533 206503.819021 154535.749801 12865.002682 1475.590448 6403.592686 1051.939473 116.380229 6516.384250 42.945697 584.523493 50.216628 31.066309 0.137988 57.523034 241.285176 8.938653 237.749674 922.531354 699.761396 7.371626 2756.446632 40916.831346 73472.601770 548.567365 20818.937782 825.635880 26594.886960 20715.005771 1433.825447 2375.198342 5239.827798 218.298703 171.160396 4529.164230 27853.112819 9482.896304 7924.177334 6.795694 2652.131869 62492.519642 54.956843 44.605561 10.222741 509.026697 409.864748 23.117435 543.004394 444.869585 192.655904 425.635278 2002.183273 2268312.857603 40482.839688 348740.383186 0.999461 1.213567 0.993488 0.983671 0.999321 0.999977 0.896815 1.001910 0.996815 1.001104 1.002959 0.998552 1.004243 1.012747 1.045515 1.005753 0.986633 0.999960 1.007553 0.999537 1.001194 0.998880 1.001628 0.998516 0.911979 0.993958 1.821422 1.835299 1.200888 1.503372 1.505643 1.957332 1.606744 5.871232 4.238700 2.412627 1.830903 0.787373 0.960349 1.081776 0.942636 1.469085 1.382209 1.471394 1.129692 1.378171 1.831853 1.002068 1.000105 1.000205 0.829239 1.000092 0.821194 1.045999 1.009524 1.000162 1.000702 1.007291 0.830934 1.001358 0.995401 1.003250 0.959341 0.997403 1.003221 0.999068 1.000284 0.999714 0.999318 0.981550 1.000000 863.638493 0.365191 7.591349 0.000000 0.000000 106.138516 5856.844345 32.550216 485.734578 41.594010 28.414049 0.123020 18.743071 85.023853 8.475932 214.185631 159.752837 128.621379 3.040017 630.904653 39100.340561 70664.116618 523.497460 5788.705468 723.261708 23947.918023 1187.249166 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.464194 0.118177 61.431034 0.000000 -330.941331 0.000000
4.000000e+00 4201202.326580 882708.472239 146305.556415 7617.784966 68884.775865 12320.802289 1669.712405 10206.140814 3487.092060 142391.861627 3901.077671 69221.980132 236898.231954 965.170040 346.533738 22063.801411 9559.121004 2659.048489 12079.033471 397034.809335 206547.093065 154504.403671 12868.013784 1474.919114 6421.533652 1055.486320 117.889624 6549.876764 43.305537 586.812522 50.449657 31.274929 0.140763 123.318106 483.484263 8.979544 238.572470 980.256016 733.398791 8.136777 2875.258814 41001.983613 73620.841685 550.037359 21619.391770 827.291790 26691.694064 20724.838089 1433.860099 2377.745948 5243.326274 218.303340 171.278069 4575.324092 27914.173098 9483.235632 7925.280048 6.841551 2652.199547 62512.386398 54.894280 44.627980 10.155520 508.924844 409.977014 23.113490 543.031848 444.959408 192.694651 426.226023 3071.169397 2763125.368229 32580.531435 417198.446430 0.999412 1.248957 0.991702 0.981076 0.999200 0.999956 0.861434 1.003155 0.996735 1.001365 1.003995 0.998301 1.004213 1.014974 1.053635 1.006776 0.985075 0.999951 1.009179 0.999406 1.001404 0.998678 1.001863 0.998062 0.914534 0.997309 1.845045 1.844732 1.210950 1.509259 1.512630 1.970476 1.639050 12.586769 8.493454 2.423664 1.837239 0.836640 1.006513 1.194061 0.983267 1.472142 1.384997 1.475337 1.173127 1.380935 1.838521 1.002544 1.000129 1.001277 0.829793 1.000113 0.821758 1.056660 1.011737 1.000197 1.000841 1.014089 0.830955 1.001676 0.994268 1.003754 0.953033 0.997204 1.003495 0.998897 1.000334 0.999916 0.999519 0.982912 1.000000 1052.033639 0.293905 9.081538 0.000000 0.000000 106.270211 5861.956494 32.590101 486.149928 41.629664 28.437879 0.123171 18.759163 85.074811 8.484353 214.373346 160.074308 128.747964 3.043195 631.555275 39160.958846 70780.372162 524.323909 5789.274402 724.209849 23968.645812 1658.038108 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.490686 0.114393 61.758621 0.000000 -334.616389 0.000000
5.000000e+00 4200999.310158 904894.438562 146084.963909 7613.321220 68876.402605 12320.477464 1603.219165 10218.636501 3486.185516 142425.532435 3905.075705 69204.562799 236875.564435 967.292054 349.220606 22086.220023 9545.237356 2659.022232 12099.560378 396976.554337 206590.447359 154472.786322 12870.921115 1474.250005 6439.308979 1059.044060 119.471413 6585.969045 43.684477 589.294005 50.699706 31.502051 0.144075 215.860869 816.567030 9.023512 239.410743 1052.427155 770.738820 9.188910 3003.190974 41087.424831 73768.855921 551.505313 22424.084841 828.950058 26788.154838 20733.350424 1433.894595 2380.287252 5246.811848 218.307949 171.395390 4621.253265 27974.957651 9483.575785 7926.302683 6.887406 2652.267025 62532.181469 54.832404 44.650853 10.089970 508.831666 410.090844 23.109574 543.059376 445.049233 192.733408 426.816770 4192.008758 3245152.731590 26242.377733 484140.077623 0.999364 1.280348 0.990206 0.980501 0.999078 0.999929 0.827129 1.004384 0.996476 1.001602 1.005024 0.998050 1.004117 1.017206 1.061804 1.007799 0.983644 0.999942 1.010894 0.999259 1.001614 0.998473 1.002089 0.997609 0.917065 1.000671 1.869800 1.854897 1.221546 1.515641 1.520127 1.984786 1.677619 22.032377 14.344778 2.435532 1.843695 0.898237 1.057758 1.348460 1.027017 1.475210 1.387782 1.479274 1.216791 1.383703 1.845165 1.002955 1.000154 1.002347 0.830344 1.000134 0.822321 1.067267 1.013940 1.000233 1.000970 1.020886 0.830976 1.001994 0.993147 1.004268 0.946882 0.997021 1.003774 0.998728 1.000385 1.000118 0.999720 0.984274 1.000000 1235.560961 0.236729 10.538718 0.000000 0.000000 106.401870 5867.065569 32.629973 486.565014 41.665295 28.461695 0.123322 18.775246 85.125721 8.492770 214.560951 160.395476 128.874297 3.046366 632.204639 39221.593824 70896.668955 525.150471 5789.839560 725.157863 23989.360804 2123.421416 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.525416 0.110279 61.931034 0.000000 -338.272841 0.000000
6.000000e+00 4200800.612296 924665.735463 145929.577035 7634.216898 68868.070262 12320.096548 1540.168754 10231.201689 3484.699487 142455.958510 3909.059346 69187.212333 236838.471723 969.410049 351.913175 22108.524801 9532.408456 2658.993206 12121.030185 396912.447278 206633.419405 154441.077362 12873.697774 1473.582950 6456.823310 1062.604157 121.121842 6624.450431 44.081229 591.954031 50.966330 31.746739 0.147896 333.217463 1236.397937 9.070381 240.260760 1138.443700 811.538621 10.516853 3139.499782 41173.029944 73916.517968 552.967749 23227.958317 830.608214 26883.801547 20741.788038 1433.928936 2382.817212 5250.275314 218.312515 171.512101 4666.788660 28035.301846 9483.915857 7927.243603 6.933253 2652.334167 62551.857369 54.771425 44.673799 10.026710 508.745544 410.205070 23.105690 543.086680 445.139062 192.772176 427.407520 5314.513233 3713374.354554 21162.400203 549571.579875 0.999317 1.308323 0.989153 0.983192 0.998957 0.999898 0.794600 1.005619 0.996051 1.001816 1.006049 0.997800 1.003959 1.019433 1.069991 1.008817 0.982322 0.999931 1.012688 0.999098 1.001822 0.998268 1.002305 0.997158 0.919560 1.004034 1.895631 1.865735 1.232640 1.522483 1.528122 2.000202 1.722116 34.010670 21.720022 2.448182 1.850240 0.971652 1.113751 1.543334 1.073631 1.478284 1.390560 1.483197 1.260412 1.386471 1.851753 1.003363 1.000177 1.003413 0.830892 1.000155 0.822881 1.077783 1.016127 1.000269 1.001089 1.027681 0.830997 1.002309 0.992042 1.004784 0.940945 0.996852 1.004054 0.998560 1.000435 1.000320 0.999921 0.985637 1.000000 1413.831880 0.190903 11.963025 0.000000 0.000000 106.533494 5872.171564 32.669833 486.979836 41.700904 28.485495 0.123473 18.791318 85.176582 8.501185 214.748443 160.716340 129.000379 3.049531 632.852746 39282.245393 71013.006790 525.977144 5790.400964 726.105749 24010.062984 2581.262824 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.567663 0.106144 62.017241 0.000000 -341.897536 0.000000
7.000000e+00 4200606.244056 942354.291306 145811.604762 7673.184252 68859.714503 12319.680280 1480.556974 10243.849401 3482.617713 142483.168109 3913.036720 69169.890917 236789.353213 971.524724 354.612908 22130.700687 9520.444534 2658.961135 12142.957226 396847.004188 206676.121141 154409.200506 12876.352555 1472.914436 6474.150313 1066.164752 122.841248 6665.370813 44.496038 594.763459 51.250558 32.009509 0.152203 473.507843 1739.495877 9.120155 241.124876 1238.322398 855.919258 12.118981 3284.773818 41258.976730 74064.047357 554.430282 24032.658388 832.268067 26978.892692 20750.152035 1433.964436 2385.338102 5253.724577 218.317060 171.628354 4712.036748 28095.360983 9484.256378 7928.107668 6.979090 2652.401095 62571.436551 54.711278 44.696989 9.965631 508.666671 410.320285 23.101833 543.113883 445.228893 192.810954 427.998272 6410.680580 4170618.602061 17082.661259 613920.982780 0.999270 1.333350 0.988353 0.988210 0.998836 0.999864 0.763845 1.006862 0.995456 1.002007 1.007073 0.997550 1.003751 1.021657 1.078200 1.009829 0.981089 0.999919 1.014520 0.998933 1.002029 0.998062 1.002512 0.996706 0.922027 1.007399 1.922540 1.877260 1.244240 1.529708 1.536644 2.016758 1.772257 48.329757 30.558033 2.461616 1.856895 1.056897 1.174659 1.778445 1.123311 1.481370 1.393335 1.487119 1.304077 1.389241 1.858303 1.003768 1.000202 1.004474 0.831438 1.000176 0.823439 1.088233 1.018304 1.000305 1.001198 1.034475 0.831018 1.002623 0.990953 1.005306 0.935213 0.996698 1.004336 0.998394 1.000485 1.000521 1.000122 0.986999 1.000000 1587.923267 0.154101 13.363777 0.000000 0.000000 106.665082 5877.274477 32.709681 487.394394 41.736490 28.509280 0.123623 18.807380 85.227394 8.509596 214.935824 161.036899 129.126209 3.052690 633.499596 39342.913453 71129.385461 526.803928 5790.958639 727.053505 24030.752338 3029.389842 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.617207 0.102081 62.103448 0.000000 -345.499060 0.000000
8.000000e+00 4200415.950061 958254.099078 145725.138900 7730.879172 68851.427801 12319.247512 1424.070087 10256.549088 3479.938792 142507.119126 3917.007702 69152.568770 236729.815475 973.637577 357.322195 22152.789463 9509.203434 2658.926057 12164.841025 396782.034201 206718.675595 154377.076853 12878.860292 1472.242165 6491.321250 1069.726706 124.630621 6708.782222 44.929163 597.756345 51.551815 32.289192 0.156956 634.507815 2319.492501 9.172817 242.005072 1352.080414 903.961238 13.996862 3439.302159 41345.378378 74211.576544 555.895929 24839.930518 833.931531 27073.673112 20758.442529 1434.001610 2387.852425 5257.165444 218.321595 171.744301 4757.066104 28155.215880 9484.597460 7928.898469 7.024916 2652.467882 62590.943892 54.651954 44.720629 9.906231 508.596201 410.437808 23.098017 543.141124 445.318727 192.849743 428.589027 7464.322280 4619176.248943 13800.945413 677461.007402 0.999225 1.355847 0.987767 0.995641 0.998716 0.999829 0.734703 1.008110 0.994690 1.002176 1.008095 0.997300 1.003499 1.023879 1.086437 1.010836 0.979931 0.999905 1.016348 0.998769 1.002235 0.997855 1.002707 0.996251 0.924473 1.010764 1.950545 1.889487 1.256351 1.537406 1.545676 2.034379 1.827606 64.762620 40.746937 2.475830 1.863673 1.153989 1.240592 2.054021 1.176156 1.484472 1.396111 1.491051 1.347882 1.392018 1.864832 1.004169 1.000228 1.005533 0.831983 1.000197 0.823995 1.098632 1.020473 1.000341 1.001298 1.041268 0.831039 1.002935 0.989879 1.005838 0.929639 0.996560 1.004623 0.998229 1.000535 1.000723 1.000323 0.988361 1.000000 1758.707315 0.124497 14.746910 0.000000 0.000000 106.796634 5882.374303 32.749516 487.808686 41.772054 28.533050 0.123774 18.823431 85.278158 8.518005 215.123093 161.357150 129.251789 3.055843 634.145190 39403.597904 71245.804761 527.630820 5791.512607 728.001131 24051.428850 3465.625794 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.673608 0.098142 62.155172 0.000000 -349.082944 0.000000
9.000000e+00 4200229.446601 972612.550485 145634.739136 7794.788116 68843.144199 12318.786818 1370.567664 10269.272499 3476.686569 142527.849106 3920.970473 69135.260751 236662.004569 975.750295 360.042430 22174.820622 9498.595329 2658.888177 12186.589628 396717.418875 206761.062188 154344.731069 12881.233655 1471.564872 6508.308396 1073.293665 126.489168 6754.632831 45.380175 600.927092 51.868948 32.584849 0.162126 814.215841 2969.277106 9.228302 242.901139 1479.528552 955.639703 16.144850 3603.055274 41432.214470 74359.070634 557.364110 25649.580789 835.598058 27168.114325 20766.661927 1434.040631 2390.362628 5260.599794 218.326118 171.860041 4801.891561 28214.873743 9484.939322 7929.618180 7.070731 2652.534528 62610.407754 54.593356 44.744798 9.848150 508.533888 410.558148 23.094251 543.168410 445.408566 192.888542 429.179784 8467.000374 5059855.285577 11157.979641 740439.983487 0.999181 1.376163 0.987155 1.003871 0.998596 0.999792 0.707100 1.009361 0.993761 1.002322 1.009115 0.997051 1.003211 1.026100 1.094708 1.011842 0.978838 0.999891 1.018165 0.998607 1.002441 0.997646 1.002892 0.995792 0.926892 1.014135 1.979633 1.902400 1.268963 1.545561 1.555185 2.053007 1.887807 83.104966 52.161819 2.490806 1.870574 1.262765 1.311515 2.369235 1.232156 1.487590 1.398885 1.494989 1.391816 1.394800 1.871337 1.004567 1.000255 1.006590 0.832526 1.000218 0.824550 1.108985 1.022636 1.000377 1.001389 1.048059 0.831060 1.003247 0.988817 1.006381 0.924188 0.996438 1.004918 0.998066 1.000586 1.000925 1.000524 0.989724 1.000000 1926.491656 0.100655 16.117831 0.000000 0.000000 106.928149 5887.471037 32.789339 488.222714 41.807595 28.556804 0.123924 18.839473 85.328874 8.526410 215.310251 161.677093 129.377117 3.058990 634.789529 39464.298644 71362.264486 528.457819 5792.062890 728.948624 24072.092505 3887.825673 0.000000 0.000000 0.000000 444.779765 192.617167 425.044536 0.736239 0.094373 62.206897 0.000000 -352.650383 0.000000
