Time HEP_DEN HEP_SN HEP_RN HEP_Biomass HEC_DEN HEC_SN HEC_RN HEC_Biomass CHY_DEN CHY_SN CHY_RN CHY_Biomass CHS_DEN CHS_SN CHS_RN CHS_Biomass CSY_DEN CSY_SN CSY_RN CSY_Biomass CSS_DEN CSS_SN CSS_RN CSS_Biomass CSN_DEN CSN_SN CSN_RN CSN_Biomass CDS_DEN CDS_SN CDS_RN CDS_Biomass CNY_DEN CNY_SN CNY_RN CNY_Biomass CNS_DEN CNS_SN CNS_RN CNS_Biomass CHC_DEN CHC_SN CHC_RN CHC_Biomass CYE_DEN CYE_SN CYE_RN CYE_Biomass CKS_DEN CKS_SN CKS_RN CKS_Biomass COH_DEN COH_SN COH_RN COH_Biomass COS_DEN COS_SN COS_RN COS_Biomass COD_DEN COD_SN COD_RN COD_Biomass COY_DEN COY_SN COY_RN COY_Biomass CMS_DEN CMS_SN CMS_RN CMS_Biomass CMF_DEN CMF_SN CMF_RN CMF_Biomass CMH_DEN CMH_SN CMH_RN CMH_Biomass PIS_DEN PIS_SN PIS_RN PIS_Biomass SAL_DEN SAL_SN SAL_RN SAL_Biomass SAF_DEN SAF_SN SAF_RN SAF_Biomass DOG_DEN DOG_SN DOG_RN DOG_Biomass BE_DEN BE_SN BE_RN BE_Biomass CSL_DEN CSL_SN CSL_RN CSL_Biomass PIN_DEN PIN_SN PIN_RN PIN_Biomass ROR_DEN ROR_SN ROR_RN ROR_Biomass TOR_DEN TOR_SN TOR_RN TOR_Biomass HUW_DEN HUW_SN HUW_RN HUW_Biomass
0.000000e+00 2.893681e+08 1.066731e+02 2.826837e+02 1.284409e+04 3.649661e+07 9.731065e+01 2.578732e+02 1.477783e+03 1.662764e+04 4.725127e+03 1.252159e+04 3.269203e+01 9.353177e+05 4.613713e+03 1.222634e+04 1.795591e+03 1.548886e+04 4.056776e+03 1.075046e+04 2.614558e+01 1.413481e+05 4.124196e+03 1.092912e+04 2.425643e+02 1.211988e+04 4.123044e+03 1.092607e+04 2.079285e+01 3.907720e+03 4.249413e+03 1.126095e+04 6.909556e+00 2.098000e+01 5.407277e+03 1.432928e+04 4.720433e-02 2.148050e+03 4.642961e+03 1.230385e+04 4.149895e+00 1.113020e+04 4.709925e+03 1.248130e+04 2.181296e+01 8.231400e+02 4.740914e+03 1.256342e+04 1.623804e+00 3.419300e+04 4.614179e+03 1.222758e+04 6.564919e+01 6.686827e+05 3.835440e+03 1.016392e+04 1.067168e+03 4.235913e+05 3.832384e+03 1.015582e+04 6.754819e+02 3.462580e+03 3.856647e+03 1.022012e+04 5.556579e+00 1.668883e+06 3.835431e+03 1.016389e+04 2.663409e+03 1.193670e+07 4.508107e+02 1.194648e+03 2.239114e+03 1.852298e+07 4.508109e+02 1.194649e+03 3.474586e+03 1.597820e+05 4.508617e+02 1.194783e+03 2.997567e+01 1.414134e+07 2.149697e+03 5.696696e+03 1.264927e+04 1.769090e+05 2.140220e+03 5.671584e+03 1.575455e+02 3.824476e+06 4.613694e+03 1.222629e+04 7.342069e+03 6.801149e+06 2.798140e+03 7.415072e+03 7.918620e+03 2.368000e+03 1.081471e+04 2.865898e+04 1.065600e+01 5.562000e+03 1.765288e+05 4.678012e+05 4.085490e+02 1.370000e+02 4.059069e+05 1.075653e+06 2.313901e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+00 2.892159e+08 1.068440e+02 2.831367e+02 1.285790e+04 3.643926e+07 9.740363e+01 2.581196e+02 1.476870e+03 1.662503e+04 4.785342e+03 1.268116e+04 3.310345e+01 9.352057e+05 4.730761e+03 1.253652e+04 1.840924e+03 1.548554e+04 4.092786e+03 1.084588e+04 2.637201e+01 1.412546e+05 4.163870e+03 1.103426e+04 2.447357e+02 1.211808e+04 4.178275e+03 1.107243e+04 2.106825e+01 3.906442e+03 4.409099e+03 1.168411e+04 7.166859e+00 2.097418e+01 5.585976e+03 1.480284e+04 4.875081e-02 2.144790e+03 4.824095e+03 1.278385e+04 4.305250e+00 1.111597e+04 4.794961e+03 1.270665e+04 2.217839e+01 8.230246e+02 4.792756e+03 1.270080e+04 1.641330e+00 3.418887e+04 4.691653e+03 1.243288e+04 6.674339e+01 6.685173e+05 4.208885e+03 1.115355e+04 1.170786e+03 4.235505e+05 4.324909e+03 1.146101e+04 7.622192e+02 3.461750e+03 4.265399e+03 1.130331e+04 6.144027e+00 1.668873e+06 4.246757e+03 1.125391e+04 2.949026e+03 1.193628e+07 4.540901e+02 1.203339e+03 2.255323e+03 1.851402e+07 4.538990e+02 1.202832e+03 3.496694e+03 1.597671e+05 4.577020e+02 1.212910e+03 3.042761e+01 1.413950e+07 2.401269e+03 6.363362e+03 1.412774e+04 1.768911e+05 2.154981e+03 5.710701e+03 1.586161e+02 3.824145e+06 4.701527e+03 1.245905e+04 7.481194e+03 6.596644e+06 2.799443e+03 7.418525e+03 7.684090e+03 2.302187e+03 1.081732e+04 2.866590e+04 1.036234e+01 5.561880e+03 1.769389e+05 4.688882e+05 4.094895e+02 1.368124e+02 4.062181e+05 1.076478e+06 2.312504e+01 1.790000e-13 7.329704e+06 1.942371e+07 5.459302e-13 1.790000e-13 7.329704e+06 1.942371e+07 5.459302e-13 1.790000e-13 5.676868e+07 1.504370e+08 4.228239e-12
2.000000e+00 2.891217e+08 1.069121e+02 2.833171e+02 1.286191e+04 3.640182e+07 9.746356e+01 2.582784e+02 1.476261e+03 1.095412e+04 1.961250e+03 5.197313e+03 8.939396e+00 6.495897e+05 2.345479e+03 6.215521e+03 6.339697e+02 1.127888e+04 2.151182e+03 5.700633e+03 1.009580e+01 1.028401e+05 2.269699e+03 6.014703e+03 9.712448e+01 8.824707e+03 2.299478e+03 6.093617e+03 8.443593e+00 2.647664e+03 2.258437e+03 5.984859e+03 2.488105e+00 1.322045e+01 2.350532e+03 6.228910e+03 1.293034e-02 1.446102e+03 2.331489e+03 6.178446e+03 1.402911e+00 7.413469e+03 2.954338e+03 7.828996e+03 9.113378e+00 5.407622e+02 1.926435e+03 5.105052e+03 4.334693e-01 2.374574e+04 2.322615e+03 6.154930e+03 2.294884e+01 4.702657e+05 3.681437e+03 9.755809e+03 7.203746e+02 3.521261e+05 3.696480e+03 9.795673e+03 5.416070e+02 2.744388e+03 3.385762e+03 8.972269e+03 3.866336e+00 1.372104e+06 3.533531e+03 9.363858e+03 2.017408e+03 1.181735e+07 3.645303e+02 9.660054e+02 1.792469e+03 1.832681e+07 3.640956e+02 9.648534e+02 2.776516e+03 1.581675e+05 3.712171e+02 9.837252e+02 2.443109e+01 1.371649e+07 2.494701e+03 6.610958e+03 1.423833e+04 1.604032e+05 1.523313e+03 4.036780e+03 1.016717e+02 2.656311e+06 2.326171e+03 6.164353e+03 2.571096e+03 6.188347e+06 2.799982e+03 7.419953e+03 7.209873e+03 2.286338e+03 1.081804e+04 2.866781e+04 1.029169e+01 5.561848e+03 1.770541e+05 4.691932e+05 4.097535e+02 1.367621e+02 4.063037e+05 1.076705e+06 2.312141e+01 1.790000e-13 7.329704e+06 1.942371e+07 5.459302e-13 1.790000e-13 7.329704e+06 1.942371e+07 5.459302e-13 1.790000e-13 5.676868e+07 1.504370e+08 4.228239e-12
3.000000e+00 2.890027e+08 1.069819e+02 2.835020e+02 1.286500e+04 3.636201e+07 9.752596e+01 2.584438e+02 1.475590e+03 2.108893e+04 1.179299e+03 3.080737e+03 1.024171e+01 8.979024e+05 1.765283e+03 4.677999e+03 6.595399e+02 1.582833e+04 1.578381e+03 4.182709e+03 1.039548e+01 1.457478e+05 1.628953e+03 4.316726e+03 9.878891e+01 1.119345e+04 1.851302e+03 4.905951e+03 8.622618e+00 3.525192e+03 1.808155e+03 4.791611e+03 2.652261e+00 3.731700e+01 9.639581e+02 2.554489e+03 1.496796e-02 1.177991e+06 7.911661e+01 2.096590e+02 3.877996e+01 7.497357e+06 5.008937e+01 1.327368e+02 1.562613e+02 1.027409e+03 1.082375e+03 2.868294e+03 4.627208e-01 2.574945e+04 2.199298e+03 5.828139e+03 2.356404e+01 6.853693e+05 2.674706e+03 7.087972e+03 7.627785e+02 3.965438e+05 3.461415e+03 9.172750e+03 5.711400e+02 6.962472e+03 1.495161e+03 3.962177e+03 4.331609e+00 1.512119e+06 3.378206e+03 8.952245e+03 2.125542e+03 1.275883e+07 3.421564e+02 9.067145e+02 1.816491e+03 1.844609e+07 3.659065e+02 9.696522e+02 2.808485e+03 1.617772e+05 3.724240e+02 9.869236e+02 2.506991e+01 1.398435e+07 2.583535e+03 6.844443e+03 1.503023e+04 1.684306e+05 1.460736e+03 3.870949e+03 1.023742e+02 2.688008e+06 2.366577e+03 6.271429e+03 2.646969e+03 5.781302e+06 2.800519e+03 7.421375e+03 6.736928e+03 2.270880e+03 1.081871e+04 2.866959e+04 1.022274e+01 5.561816e+03 1.771031e+05 4.693233e+05 4.098647e+02 1.367119e+02 4.063831e+05 1.076915e+06 2.311744e+01 7.760000e-02 2.781739e+06 7.371610e+06 8.982059e-02 3.346667e-02 2.781739e+06 7.371610e+06 3.873706e-02 6.930000e-02 2.048648e+07 5.428916e+07 5.907425e-01
4.000000e+00 2.888809e+08 1.070520e+02 2.836879e+02 1.286801e+04 3.632206e+07 9.758881e+01 2.586104e+02 1.474919e+03 3.122074e+04 9.066376e+02 2.358009e+03 1.161941e+01 1.146176e+06 1.442411e+03 3.822389e+03 6.879203e+02 2.037577e+04 1.263857e+03 3.349222e+03 1.071544e+01 1.885807e+05 1.282842e+03 3.399532e+03 1.006626e+02 1.356079e+04 1.563095e+03 4.142203e+03 8.819993e+00 4.402097e+03 1.548851e+03 4.104455e+03 2.837050e+00 6.139879e+01 6.885726e+02 1.824717e+03 1.759168e-02 2.350723e+06 1.068961e+02 2.832747e+02 1.045589e+02 1.496590e+07 6.397775e+01 1.695410e+02 3.984095e+02 1.513914e+03 7.860931e+02 2.083147e+03 4.951912e-01 2.775251e+04 2.095558e+03 5.553228e+03 2.419912e+01 9.004024e+05 2.189151e+03 5.801250e+03 8.201817e+02 4.409546e+05 3.295437e+03 8.732908e+03 6.046508e+02 1.117871e+04 1.095050e+03 2.901881e+03 5.093582e+00 1.652131e+06 3.263798e+03 8.649065e+03 2.243704e+03 1.370029e+07 3.229476e+02 8.558111e+02 1.841025e+03 1.856536e+07 3.676960e+02 9.743945e+02 2.840470e+03 1.653864e+05 3.736481e+02 9.901674e+02 2.571345e+01 1.425219e+07 2.670663e+03 7.072449e+03 1.583012e+04 1.764574e+05 1.403929e+03 3.720412e+03 1.030819e+02 2.719701e+06 2.406226e+03 6.376499e+03 2.723048e+03 5.377215e+06 2.801053e+03 7.422791e+03 6.267242e+03 2.255797e+03 1.081943e+04 2.867149e+04 1.015552e+01 5.561784e+03 1.771527e+05 4.694546e+05 4.099770e+02 1.366618e+02 4.064628e+05 1.077126e+06 2.311349e+01 1.552000e-01 2.781774e+06 7.371703e+06 1.796434e-01 6.693333e-02 2.782092e+06 7.372545e+06 7.748394e-02 1.386000e-01 2.048652e+07 5.428927e+07 1.181487e+00
5.000000e+00 2.887582e+08 1.071217e+02 2.838726e+02 1.287092e+04 3.628217e+07 9.765177e+01 2.587772e+02 1.474250e+03 4.134961e+04 7.706491e+02 2.001931e+03 1.306954e+01 1.394409e+06 1.239032e+03 3.283435e+03 7.189035e+02 2.492093e+04 1.066049e+03 2.825030e+03 1.105450e+01 2.313182e+05 1.067298e+03 2.828338e+03 1.027290e+02 1.592601e+04 1.363312e+03 3.612776e+03 9.034411e+00 5.278334e+03 1.384299e+03 3.668392e+03 3.040356e+00 8.546595e+01 5.835716e+02 1.546465e+03 2.075319e-02 3.519455e+06 1.345804e+02 3.566381e+02 1.970856e+02 2.241179e+07 7.843417e+01 2.078505e+02 7.314413e+02 2.000254e+03 6.376766e+02 1.689843e+03 5.307419e-01 2.975475e+04 2.007099e+03 5.318811e+03 2.484979e+01 1.115366e+06 1.922052e+03 5.093439e+03 8.920317e+02 4.853585e+05 3.178213e+03 8.422264e+03 6.418645e+02 1.539313e+04 9.590109e+02 2.541379e+03 6.142544e+00 1.792141e+06 3.179503e+03 8.425683e+03 2.370986e+03 1.464174e+07 3.062540e+02 8.115731e+02 1.865831e+03 1.868464e+07 3.694283e+02 9.789851e+02 2.872187e+03 1.689951e+05 3.747905e+02 9.931948e+02 2.635484e+01 1.452001e+07 2.754165e+03 7.295034e+03 1.663425e+04 1.844833e+05 1.352104e+03 3.583075e+03 1.037922e+02 2.751392e+06 2.444673e+03 6.478383e+03 2.798794e+03 4.977859e+06 2.801582e+03 7.424194e+03 5.802881e+03 2.241077e+03 1.082020e+04 2.867354e+04 1.008997e+01 5.561752e+03 1.772029e+05 4.695876e+05 4.100908e+02 1.366117e+02 4.065429e+05 1.077339e+06 2.310957e+01 2.328000e-01 2.781812e+06 7.371802e+06 2.694688e-01 1.004000e-01 2.782468e+06 7.373541e+06 1.162416e-01 2.079000e-01 2.048656e+07 5.428938e+07 1.772235e+00
6.000000e+00 2.886350e+08 1.071906e+02 2.840550e+02 1.287370e+04 3.624235e+07 9.771483e+01 2.589443e+02 1.473583e+03 5.147567e+04 6.909769e+02 1.795012e+03 1.458835e+01 1.642601e+06 1.100650e+03 2.916722e+03 7.522789e+02 2.946359e+04 9.307979e+02 2.466614e+03 1.141140e+01 2.739451e+05 9.209186e+02 2.440434e+03 1.049742e+02 1.828836e+04 1.217567e+03 3.226553e+03 9.265426e+00 6.153849e+03 1.273617e+03 3.375084e+03 3.261244e+00 1.095186e+02 5.359572e+02 1.420287e+03 2.442393e-02 4.684070e+06 1.613235e+02 4.275072e+02 3.144261e+02 2.983352e+07 9.273777e+01 2.457551e+02 1.151221e+03 2.486395e+03 5.501664e+02 1.457941e+03 5.691960e-01 3.175603e+04 1.930749e+03 5.116486e+03 2.551232e+01 1.330263e+06 1.766374e+03 4.680890e+03 9.777274e+02 5.297558e+05 3.096375e+03 8.205394e+03 6.825382e+02 1.960581e+04 9.153397e+02 2.425650e+03 7.467322e+00 1.932148e+06 3.117849e+03 8.262300e+03 2.506647e+03 1.558318e+07 2.916004e+02 7.727411e+02 1.890785e+03 1.880395e+07 3.710878e+02 9.833828e+02 2.903511e+03 1.726031e+05 3.758082e+02 9.958917e+02 2.699060e+01 1.478781e+07 2.834554e+03 7.509171e+03 1.743756e+04 1.925085e+05 1.304605e+03 3.457202e+03 1.045025e+02 2.783080e+06 2.481554e+03 6.576119e+03 2.873739e+03 4.585062e+06 2.802105e+03 7.425579e+03 5.345981e+03 2.226859e+03 1.082101e+04 2.867569e+04 1.002671e+01 5.561720e+03 1.772532e+05 4.697211e+05 4.102051e+02 1.365619e+02 4.066228e+05 1.077550e+06 2.310569e+01 3.104000e-01 2.781853e+06 7.371911e+06 3.592970e-01 1.338667e-01 2.782840e+06 7.374528e+06 1.550096e-01 2.772000e-01 2.048660e+07 5.428950e+07 2.362985e+00
7.000000e+00 2.885105e+08 1.072590e+02 2.842363e+02 1.287635e+04 3.620243e+07 9.777820e+01 2.591122e+02 1.472914e+03 6.159859e+04 6.400176e+02 1.663545e+03 1.617617e+01 1.890749e+06 1.001723e+03 2.654567e+03 7.880963e+02 3.400377e+04 8.330187e+02 2.207500e+03 1.178636e+01 3.163974e+05 8.155463e+02 2.161198e+03 1.073691e+02 2.064711e+04 1.107412e+03 2.934643e+03 9.514068e+00 7.028610e+03 1.196821e+03 3.171576e+03 3.500229e+00 1.335569e+02 5.142676e+02 1.362809e+03 2.857941e-02 5.843414e+06 1.870084e+02 4.955722e+02 4.547005e+02 3.722981e+07 1.067868e+02 2.829850e+02 1.654268e+03 2.972357e+03 4.936611e+02 1.308202e+03 6.105590e-01 3.375618e+04 1.864527e+03 4.940997e+03 2.618905e+01 1.545094e+06 1.675630e+03 4.440420e+03 1.077285e+03 5.741466e+05 3.042218e+03 8.061877e+03 7.267930e+02 2.381676e+04 9.148488e+02 2.424349e+03 9.066291e+00 2.072153e+06 3.074929e+03 8.148562e+03 2.651274e+03 1.652461e+07 2.786641e+02 7.384598e+02 1.916063e+03 1.892327e+07 3.727041e+02 9.876659e+02 2.934662e+03 1.762101e+05 3.767862e+02 9.984834e+02 2.762635e+01 1.505560e+07 2.912031e+03 7.716237e+03 1.824170e+04 2.005330e+05 1.260934e+03 3.341475e+03 1.052146e+02 2.814766e+06 2.517144e+03 6.670432e+03 2.948140e+03 4.200684e+06 2.802623e+03 7.426951e+03 4.898718e+03 2.213121e+03 1.082186e+04 2.867793e+04 9.965631e+00 5.561688e+03 1.773040e+05 4.698557e+05 4.103203e+02 1.365123e+02 4.067026e+05 1.077762e+06 2.310183e+01 3.880000e-01 2.781896e+06 7.372025e+06 4.491282e-01 1.673333e-01 2.783211e+06 7.375510e+06 1.937878e-01 3.465000e-01 2.048664e+07 5.428961e+07 2.953737e+00
8.000000e+00 2.883837e+08 1.073270e+02 2.844165e+02 1.287886e+04 3.616230e+07 9.784203e+01 2.592814e+02 1.472242e+03 7.171859e+04 6.057128e+02 1.575569e+03 1.783399e+01 2.138850e+06 9.285738e+02 2.460721e+03 8.264079e+02 3.854120e+04 7.594719e+02 2.012601e+03 1.217965e+01 3.587069e+05 7.366285e+02 1.952065e+03 1.099477e+02 2.300157e+04 1.021817e+03 2.707815e+03 9.779761e+00 7.902604e+03 1.142284e+03 3.027053e+03 3.756143e+00 1.575795e+02 5.060674e+02 1.341079e+03 3.318224e-02 6.997907e+06 2.114425e+02 5.603226e+02 6.156844e+02 4.459961e+07 1.203916e+02 3.190377e+02 2.234214e+03 3.458087e+03 4.550756e+02 1.205950e+03 6.548128e-01 3.575501e+04 1.806869e+03 4.788202e+03 2.688198e+01 1.759857e+06 1.626057e+03 4.309051e+03 1.190723e+03 6.185305e+05 3.010094e+03 7.976748e+03 7.747094e+02 2.802590e+04 9.382111e+02 2.486259e+03 1.094102e+01 2.212156e+06 3.047500e+03 8.075876e+03 2.805157e+03 1.746601e+07 2.671829e+02 7.080346e+02 1.941780e+03 1.904259e+07 3.742950e+02 9.918819e+02 2.965772e+03 1.798158e+05 3.777679e+02 1.001085e+03 2.826511e+01 1.532336e+07 2.987526e+03 7.916828e+03 1.904842e+04 2.085564e+05 1.220673e+03 3.234783e+03 1.059304e+02 2.846448e+06 2.551694e+03 6.761988e+03 3.022244e+03 3.826585e+06 2.803137e+03 7.428314e+03 4.463273e+03 2.199750e+03 1.082274e+04 2.868027e+04 9.906231e+00 5.561657e+03 1.773558e+05 4.699929e+05 4.104378e+02 1.364629e+02 4.067827e+05 1.077974e+06 2.309802e+01 4.656000e-01 2.781942e+06 7.372146e+06 5.389628e-01 2.008000e-01 2.783583e+06 7.376497e+06 2.325764e-01 4.158000e-01 2.048669e+07 5.428972e+07 3.544491e+00
9.000000e+00 2.882553e+08 1.073946e+02 2.845957e+02 1.288123e+04 3.612194e+07 9.790630e+01 2.594517e+02 1.471565e+03 8.183569e+04 5.818996e+02 1.514837e+03 1.956102e+01 2.386901e+06 8.731079e+02 2.313736e+03 8.671618e+02 4.307569e+04 7.024649e+02 1.861532e+03 1.259084e+01 4.008556e+05 6.757019e+02 1.790610e+03 1.127044e+02 2.535081e+04 9.538208e+02 2.527625e+03 1.006135e+01 8.775799e+03 1.103087e+03 2.923182e+03 4.028045e+00 1.815878e+02 5.055899e+02 1.339813e+03 3.820170e-02 8.147411e+06 2.346148e+02 6.217291e+02 7.953764e+02 5.194214e+07 1.334350e+02 3.536029e+02 2.883948e+03 3.943572e+03 4.277428e+02 1.133518e+03 7.018919e-01 3.775395e+04 1.756328e+03 4.654269e+03 2.759089e+01 1.974551e+06 1.603985e+03 4.250561e+03 1.317851e+03 6.629079e+05 2.995485e+03 7.938036e+03 8.262626e+02 3.223322e+04 9.756653e+02 2.585513e+03 1.308586e+01 2.352156e+06 3.032766e+03 8.036830e+03 2.968266e+03 1.840740e+07 2.569309e+02 6.808670e+02 1.967916e+03 1.916189e+07 3.758569e+02 9.960208e+02 2.996806e+03 1.834200e+05 3.787458e+02 1.003676e+03 2.890629e+01 1.559111e+07 3.060913e+03 8.111397e+03 1.985752e+04 2.165789e+05 1.183436e+03 3.136105e+03 1.066494e+02 2.878126e+06 2.585214e+03 6.850817e+03 3.096022e+03 3.464598e+06 2.803648e+03 7.429667e+03 4.041793e+03 2.186667e+03 1.082367e+04 2.868271e+04 9.848150e+00 5.561626e+03 1.774088e+05 4.701334e+05 4.105581e+02 1.364136e+02 4.068632e+05 1.078187e+06 2.309425e+01 5.432000e-01 2.781990e+06 7.372276e+06 6.288009e-01 2.342667e-01 2.783958e+06 7.377489e+06 2.713757e-01 4.851000e-01 2.048673e+07 5.428983e+07 4.135249e+00
